course_id,course_title,subject,level,num_subscribers,num_reviews,price,content_duration,combined_features
606928,7 deadly mistakes of investing that will slash your profits,business finance,all levels,5354,24,50,1.5,7 deadly mistakes of investing that will slash your profits business finance all levels
58977,financial statements made easy,business finance,beginner level,8095,249,95,0.5833333333333334,financial statements made easy business finance beginner level
1242604,winning forex trading with live forex trading examples,business finance,all levels,809,3,200,2.0,winning forex trading with live forex trading examples business finance all levels
798740,forex traders create your first trading robot. no coding,business finance,all levels,2295,84,200,4.0,forex traders create your first trading robot. no coding business finance all levels
506568,create a business from home trading stocks today in 2017,business finance,all levels,10149,83,75,2.0,create a business from home trading stocks today in 2017 business finance all levels
1020760,introduction to accounting mastering financial statements,business finance,beginner level,1916,38,50,1.0,introduction to accounting mastering financial statements business finance beginner level
859742,the complete ethereum course get .01 ether in your wallet,business finance,all levels,2507,333,45,2.0,the complete ethereum course get .01 ether in your wallet business finance all levels
383414,beginner to pro in powerpoint complete powerpoint training,business finance,all levels,5786,518,150,5.0,beginner to pro in powerpoint complete powerpoint training business finance all levels
353044,investing 101 the complete online investing course,business finance,all levels,5334,373,200,4.5,investing 101 the complete online investing course business finance all levels
447362,create your own hedge fund trade stocks like a fund manager,business finance,intermediate level,4005,237,175,2.0,create your own hedge fund trade stocks like a fund manager business finance intermediate level
831066,learn mql5 build an 8 currency hedging robot metatrader 5,business finance,all levels,2877,103,150,4.5,learn mql5 build an 8 currency hedging robot metatrader 5 business finance all levels
1266306,forex trading your complete guide to get started like a pro,business finance,beginner level,1026,25,140,3.0,forex trading your complete guide to get started like a pro business finance beginner level
1170894,python algo stock trading automate your trading,business finance,beginner level,1165,21,95,2.5,python algo stock trading automate your trading business finance beginner level
948974,the forex robot incredible roi robot included,business finance,all levels,1843,171,200,1.5,the forex robot incredible roi robot included business finance all levels
380970,the complete bitcoin course get .001 bitcoin in your wallet,business finance,all levels,8797,449,45,6.5,the complete bitcoin course get .001 bitcoin in your wallet business finance all levels
1217778,mastering high probability iron condor options trading,business finance,all levels,1030,11,200,2.0,mastering high probability iron condor options trading business finance all levels
1246208,the complete short course on ethereum,business finance,all levels,1041,12,200,1.5,the complete short course on ethereum business finance all levels
434774,options trading stocks proven toolbox for financial success,business finance,intermediate level,7884,118,195,10.0,options trading stocks proven toolbox for financial success business finance intermediate level
308690,forex trading a z with live examples of forex trading,business finance,beginner level,16900,2476,195,5.5,forex trading a z with live examples of forex trading business finance beginner level
888716,introduction to finance accounting modeling and valuation,business finance,all levels,11441,1118,200,4.5,introduction to finance accounting modeling and valuation business finance all levels
321410,beginner to pro in excel financial modeling and valuation,business finance,all levels,22257,2697,195,7.5,beginner to pro in excel financial modeling and valuation business finance all levels
965832,the complete investment banking course 2017,business finance,all levels,8575,809,195,5.5,the complete investment banking course 2017 business finance all levels
648826,the complete financial analyst course 2017,business finance,all levels,24481,2347,195,10.0,the complete financial analyst course 2017 business finance all levels
1035472,python for finance investment fundamentals data analytics,business finance,all levels,3811,278,195,6.5,python for finance investment fundamentals data analytics business finance all levels
1154754,financial modeling for startups small businesses,business finance,beginner level,4991,137,195,11.5,financial modeling for startups small businesses business finance beginner level
627540,options trading how to win with weekly options,business finance,intermediate level,7489,1190,115,1.0,options trading how to win with weekly options business finance intermediate level
301442,black algo trading build your trading robot,business finance,all levels,20195,1113,200,16.0,black algo trading build your trading robot business finance all levels
640100,accounting financial statement analysis complete training,business finance,all levels,10042,594,150,3.0,accounting financial statement analysis complete training business finance all levels
1247394,cryptocurrency trading complete guide to trading altcoins,business finance,all levels,367,42,95,5.0,cryptocurrency trading complete guide to trading altcoins business finance all levels
260470,forex robots expect to earn 175 p.a. forex robot included,business finance,all levels,10603,872,200,5.5,forex robots expect to earn 175 p.a. forex robot included business finance all levels
1214702,three steps trading live trading real account,business finance,all levels,1197,11,190,5.0,three steps trading live trading real account business finance all levels
848664,option trading for rookies understand options completely,business finance,all levels,2893,65,150,2.0,option trading for rookies understand options completely business finance all levels
1142570,how i learned stock trading and how you can too,business finance,expert level,1580,12,200,2.0,how i learned stock trading and how you can too business finance expert level
325834,learn to trade for profit find and trade winning stocks,business finance,all levels,10605,71,95,3.0,learn to trade for profit find and trade winning stocks business finance all levels
411168,trading inside bars master 1 easy pattern to be successful,business finance,intermediate level,2996,200,125,2.0,trading inside bars master 1 easy pattern to be successful business finance intermediate level
885974,four fundamentals of financial planning,business finance,all levels,6219,23,30,1.0,four fundamentals of financial planning business finance all levels
1151092,options trading calendar spread course for every trader,business finance,all levels,1113,11,200,1.5,options trading calendar spread course for every trader business finance all levels
358326,dividend investing build your portfolio for a better future,business finance,beginner level,8314,83,60,4.0,dividend investing build your portfolio for a better future business finance beginner level
153210,learn accounting. understand business.,business finance,beginner level,5572,123,200,5.5,learn accounting. understand business. business finance beginner level
834836,how to consistently win trading stocks in 30 days or less,business finance,intermediate level,1433,169,145,1.0,how to consistently win trading stocks in 30 days or less business finance intermediate level
1171994,a beginner s guide to quantopian futures api,business finance,intermediate level,936,6,20,1.5,a beginner s guide to quantopian futures api business finance intermediate level
1239068,how to buy cheap options options trading pricing model,business finance,all levels,658,2,200,1.0,how to buy cheap options options trading pricing model business finance all levels
985922,excel crash course master excel for financial analysis,business finance,all levels,8121,689,105,3.5,excel crash course master excel for financial analysis business finance all levels
765562,comprehensive guide to financial markets investing trading,business finance,beginner level,4187,600,60,9.0,comprehensive guide to financial markets investing trading business finance beginner level
165964,stock trading ninja complete system for trading success,business finance,all levels,9445,497,155,4.5,stock trading ninja complete system for trading success business finance all levels
855172,hedge and mutual fund careers the complete guide,business finance,all levels,3255,340,200,8.5,hedge and mutual fund careers the complete guide business finance all levels
258232,algorithmic trading in forex create your first forex robot,business finance,all levels,7941,713,185,6.5,algorithmic trading in forex create your first forex robot business finance all levels
994754,the power modeling bootcamp advanced excel in 10 days,business finance,all levels,1680,158,150,5.5,the power modeling bootcamp advanced excel in 10 days business finance all levels
43319,options trading basics 3 course bundle,business finance,beginner level,10100,985,180,11.0,options trading basics 3 course bundle business finance beginner level
408440,how to win 97 of your options trades,business finance,all levels,5050,461,125,1.5,how to win 97 of your options trades business finance all levels
918688,how i make consistent returns trading options,business finance,all levels,2310,162,200,3.5,how i make consistent returns trading options business finance all levels
308694,forex strategies kelly criterion larry williams and more,business finance,all levels,5528,506,185,3.0,forex strategies kelly criterion larry williams and more business finance all levels
199450,elite trend trader learn to trade stocks options forex,business finance,all levels,6451,237,125,5.0,elite trend trader learn to trade stocks options forex business finance all levels
401784,options trading introduction day trade stock options,business finance,beginner level,12394,218,95,2.5,options trading introduction day trade stock options business finance beginner level
1122792,the almost perfect options trading strategy system unique,business finance,all levels,1793,18,200,1.0,the almost perfect options trading strategy system unique business finance all levels
709500,forex trading learn to trade forex like the banks,business finance,all levels,3223,240,20,1.0,forex trading learn to trade forex like the banks business finance all levels
285638,learn to trade for profit trading with japanese candlesticks,business finance,beginner level,16385,273,60,3.0,learn to trade for profit trading with japanese candlesticks business finance beginner level
1135126,the most powerful options spread trading front ratio spread,business finance,all levels,1487,16,200,2.0,the most powerful options spread trading front ratio spread business finance all levels
834558,what finance job is for you explanation of 14 finance roles,business finance,all levels,2951,232,200,4.0,what finance job is for you explanation of 14 finance roles business finance all levels
551968,the blueprint for successful stock trading,business finance,all levels,2697,331,120,1.0,the blueprint for successful stock trading business finance all levels
1005658,trading for beginners intermediate level,business finance,beginner level,3979,40,150,5.0,trading for beginners intermediate level business finance beginner level
746432,start trading stocks using technical analysis,business finance,all levels,3190,244,25,4.0,start trading stocks using technical analysis business finance all levels
1057242,learn how to set up an incubator hedge fund step by step,business finance,expert level,1406,71,200,1.5,learn how to set up an incubator hedge fund step by step business finance expert level
284118,vps for forex trading protect your forex robots,business finance,all levels,4252,225,160,2.0,vps for forex trading protect your forex robots business finance all levels
302562,introduction to accounting the language of business,business finance,beginner level,11958,370,20,11.5,introduction to accounting the language of business business finance beginner level
596598,basic excel for basic bookkeeping and accounting,business finance,beginner level,7743,340,95,1.5,basic excel for basic bookkeeping and accounting business finance beginner level
860890,using the greeks to understand options,business finance,all levels,2134,55,50,1.0,using the greeks to understand options business finance all levels
951050,trading options for consistent returns calendar spreads,business finance,all levels,1214,69,200,1.5,trading options for consistent returns calendar spreads business finance all levels
796450,how to create your personal budget,business finance,all levels,3870,53,20,1.0,how to create your personal budget business finance all levels
502772,the complete value investing course a proven approach,business finance,all levels,2146,212,200,4.5,the complete value investing course a proven approach business finance all levels
1102462,forex trading with price action,business finance,beginner level,484,57,195,1.0,forex trading with price action business finance beginner level
1062092,emini es futures advanced non directional options trading,business finance,all levels,1057,15,200,1.5,emini es futures advanced non directional options trading business finance all levels
891484,forex trading advanced fundamental analysis,business finance,intermediate level,1754,100,20,2.5,forex trading advanced fundamental analysis business finance intermediate level
1217064,how to invest with tiny capital in stocks,business finance,beginner level,1239,5,20,0.7,how to invest with tiny capital in stocks business finance beginner level
382204,learn how to successfully trade stocks in 5 simple steps,business finance,all levels,2493,276,95,9.5,learn how to successfully trade stocks in 5 simple steps business finance all levels
308696,forex metatrader 4 master mt4 like a pro forex trader,business finance,beginner level,2602,402,150,5.0,forex metatrader 4 master mt4 like a pro forex trader business finance beginner level
474928,intermediate options trading concepts for stocks and options,business finance,all levels,2000,30,40,1.0,intermediate options trading concepts for stocks and options business finance all levels
1148774,options trading 101 the basics,business finance,beginner level,1514,66,0,0.55,options trading 101 the basics business finance beginner level
959144,practical accounts app overview,business finance,intermediate level,1361,1,20,3.0,practical accounts app overview business finance intermediate level
1233350,bitcoin profits for beginners,business finance,beginner level,61,18,100,1.5,bitcoin profits for beginners business finance beginner level
572744,trend traders club how to find and trade fast moving trends,business finance,all levels,1513,31,75,5.5,trend traders club how to find and trade fast moving trends business finance all levels
724062,financial statements basics,business finance,beginner level,1374,19,20,2.0,financial statements basics business finance beginner level
474212,high performance stock trading using key options techniques,business finance,all levels,2103,15,40,1.5,high performance stock trading using key options techniques business finance all levels
771276,introduction to financial statement analysis,business finance,beginner level,1480,25,20,1.5,introduction to financial statement analysis business finance beginner level
388164,basics of economics college level,business finance,all levels,2516,12,25,1.5,basics of economics college level business finance all levels
133536,stock market investing for beginners,business finance,beginner level,50855,2698,0,1.5,stock market investing for beginners business finance beginner level
655300,accounting for beginners learn basics in under 1 hour,business finance,beginner level,1971,13,50,1.5,accounting for beginners learn basics in under 1 hour business finance beginner level
949504,straddle options trading profit in any market direction,business finance,all levels,837,9,200,1.0,straddle options trading profit in any market direction business finance all levels
265960,fundamentals of forex trading,business finance,all levels,17160,620,0,1.0,fundamentals of forex trading business finance all levels
680044,binary options trading strategies 90 accuracy and signals,business finance,beginner level,1723,38,195,1.0,binary options trading strategies 90 accuracy and signals business finance beginner level
923616,website investing 101 buying selling online businesses,business finance,all levels,6811,151,0,2.0,website investing 101 buying selling online businesses business finance all levels
741898,practical accounts bookkeeping automated overview,business finance,all levels,2060,17,20,4.5,practical accounts bookkeeping automated overview business finance all levels
381330,live account etf trading system hacking the stock market,business finance,all levels,2318,19,150,5.0,live account etf trading system hacking the stock market business finance all levels
545918,stock market leverage how to start trading options wisely,business finance,beginner level,2153,14,95,1.5,stock market leverage how to start trading options wisely business finance beginner level
191854,stock market foundations,business finance,beginner level,19339,794,0,2.0,stock market foundations business finance beginner level
471546,crash course on working capital management,business finance,all levels,3177,8,20,1.0,crash course on working capital management business finance all levels
866584,advanced accounting a complete study for ca cma cfa cs,business finance,all levels,1535,16,150,62.0,advanced accounting a complete study for ca cma cfa cs business finance all levels
889824,61 profit in 1 month crush your forex trading paradigm,business finance,all levels,1027,29,20,1.5,61 profit in 1 month crush your forex trading paradigm business finance all levels
1191504,how to create a routine trading,business finance,all levels,307,8,25,0.1333333333333333,how to create a routine trading business finance all levels
585752,forex trading secrets mt4 robot ea inside no coding,business finance,all levels,2096,48,150,0.6833333333333333,forex trading secrets mt4 robot ea inside no coding business finance all levels
671578,forex sos course trading tweaks and working forex strategy,business finance,beginner level,1315,48,50,2.5,forex sos course trading tweaks and working forex strategy business finance beginner level
151668,introduction to financial modeling,business finance,intermediate level,29167,1463,0,1.5,introduction to financial modeling business finance intermediate level
1105344,quantitative aptitude for banking competitive examinations,business finance,all levels,1056,1,50,3.0,quantitative aptitude for banking competitive examinations business finance all levels
44836,option spreads and credit spreads bundle,business finance,expert level,2212,194,180,4.5,option spreads and credit spreads bundle business finance expert level
840300,b com accountancy i paper eco 02 ignou,business finance,all levels,2946,6,50,31.5,b com accountancy i paper eco 02 ignou business finance all levels
1100054,forex trading learn in a quick + profitable way + support,business finance,all levels,271,48,100,3.5,forex trading learn in a quick + profitable way + support business finance all levels
421054,auditing basics professional course level,business finance,all levels,3771,10,25,2.5,auditing basics professional course level business finance all levels
528784,stock market investing encyclopedia how to invest in stocks,business finance,intermediate level,3143,11,200,3.0,stock market investing encyclopedia how to invest in stocks business finance intermediate level
637430,learn the basics of preparing accounting statements,business finance,intermediate level,1951,30,20,0.55,learn the basics of preparing accounting statements business finance intermediate level
236080,elliott wave forex trading with the elliott wave theory,business finance,expert level,4022,35,90,1.0,elliott wave forex trading with the elliott wave theory business finance expert level
777444,corporate finance a brief introduction,business finance,beginner level,11724,649,0,1.5,corporate finance a brief introduction business finance beginner level
474238,excel functions to analyze and visualize data,business finance,intermediate level,2283,54,20,2.0,excel functions to analyze and visualize data business finance intermediate level
1245244,building financial statements in excel,business finance,beginner level,1181,1,35,1.0,building financial statements in excel business finance beginner level
1051570,transfer pricing a complete analysis,business finance,all levels,1852,3,50,2.5,transfer pricing a complete analysis business finance all levels
262370,accounting get hired without work experience,business finance,all levels,4661,187,100,1.0,accounting get hired without work experience business finance all levels
1188178,forex trading for beginners basics,business finance,all levels,989,9,50,1.0,forex trading for beginners basics business finance all levels
824592,basic bookkeeping hacks,business finance,all levels,5841,16,20,1.5,basic bookkeeping hacks business finance all levels
1147458,complete trading plan course for stocks forex 10 hours,business finance,all levels,1087,14,200,9.5,complete trading plan course for stocks forex 10 hours business finance all levels
1243448,forex trading with fixed risk through options trading,business finance,beginner level,611,4,200,1.0,forex trading with fixed risk through options trading business finance beginner level
730414,intro to investment banking m a ipo modeling + free book,business finance,all levels,1922,149,60,20.0,intro to investment banking m a ipo modeling + free book business finance all levels
252396,how to pick the right penny stocks to invest in 2017,business finance,all levels,9015,65,150,2.5,how to pick the right penny stocks to invest in 2017 business finance all levels
1198166,top 10 trading ideas in the equities market,business finance,all levels,661,4,20,1.0,top 10 trading ideas in the equities market business finance all levels
920604,intro to financial modeling,business finance,beginner level,1077,110,105,6.0,intro to financial modeling business finance beginner level
215728,shark accounting building a business by the numbers,business finance,beginner level,6050,140,20,1.5,shark accounting building a business by the numbers business finance beginner level
722174,forex trading make your first trade today,business finance,all levels,3523,46,150,4.0,forex trading make your first trade today business finance all levels
48841,accounting in 60 minutes a brief introduction,business finance,beginner level,56659,4397,0,1.5,accounting in 60 minutes a brief introduction business finance beginner level
907444,sap fico for beginners a guide to sap financial accounts,business finance,beginner level,1444,101,100,5.0,sap fico for beginners a guide to sap financial accounts business finance beginner level
317030,learn how to double your forex trading account in one trade,business finance,intermediate level,2900,424,60,2.5,learn how to double your forex trading account in one trade business finance intermediate level
891490,accounting superpowers learn accounts understand business,business finance,beginner level,1437,96,200,2.5,accounting superpowers learn accounts understand business business finance beginner level
1070886,python algo trading fx trading with oanda,business finance,intermediate level,453,42,200,3.0,python algo trading fx trading with oanda business finance intermediate level
812616,save on your taxes,business finance,all levels,2437,12,20,1.5,save on your taxes business finance all levels
407984,financial model basics build a model from start to finish,business finance,beginner level,5057,142,30,1.0,financial model basics build a model from start to finish business finance beginner level
214046,option trading for rookies the covered call option strategy,business finance,beginner level,6092,25,95,1.5,option trading for rookies the covered call option strategy business finance beginner level
512400,eft for stock options trading success making better trades,business finance,all levels,4530,13,95,1.5,eft for stock options trading success making better trades business finance all levels
377370,learn to trade the stock market without blowing your profits,business finance,all levels,6967,16,60,1.0,learn to trade the stock market without blowing your profits business finance all levels
1175694,get a credit repair publication on amazon and live life..,business finance,beginner level,727,11,20,3.0,get a credit repair publication on amazon and live life.. business finance beginner level
945750,fundamentals of accounting,business finance,all levels,1560,43,20,3.0,fundamentals of accounting business finance all levels
1085580,rsi options trading technical analysis 3 course bundle,business finance,all levels,1047,9,200,3.5,rsi options trading technical analysis 3 course bundle business finance all levels
1188410,basics of mutual funds for ca cma cs cfa exams,business finance,intermediate level,1045,2,125,1.0,basics of mutual funds for ca cma cs cfa exams business finance intermediate level
402836,accounting 101 how to read an accounting balance sheet,business finance,beginner level,3050,86,200,2.0,accounting 101 how to read an accounting balance sheet business finance beginner level
588764,stock options day trading mindset for success,business finance,all levels,2988,21,200,4.5,stock options day trading mindset for success business finance all levels
576946,introduction to bookkeeping and accounting,business finance,beginner level,2623,158,35,1.0,introduction to bookkeeping and accounting business finance beginner level
543242,learn to trade the news,business finance,all levels,1924,351,200,46.5,learn to trade the news business finance all levels
502240,value investing taught by six superinvestors,business finance,all levels,3804,267,200,5.0,value investing taught by six superinvestors business finance all levels
598266,trading for everyone the independent investor course i,business finance,beginner level,4133,15,120,4.0,trading for everyone the independent investor course i business finance beginner level
814068,get acquired learn from the head of acquisitions for ebay,business finance,all levels,1420,70,195,2.5,get acquired learn from the head of acquisitions for ebay business finance all levels
1076920,stock market investment practical accounting,business finance,beginner level,1120,6,125,3.0,stock market investment practical accounting business finance beginner level
1103272,how to remove risk from penny stocks options trading,business finance,all levels,668,12,200,1.0,how to remove risk from penny stocks options trading business finance all levels
441112,accounting basics in 66 minutes absolutely for beginners,business finance,all levels,4086,31,25,1.5,accounting basics in 66 minutes absolutely for beginners business finance all levels
1022108,tax accounting difficult topic made easy to understand,business finance,all levels,1033,10,200,2.0,tax accounting difficult topic made easy to understand business finance all levels
1028030,analysis of company financial statements,business finance,all levels,832,34,20,1.5,analysis of company financial statements business finance all levels
1018380,forex trading like banks step by step with live examples,business finance,all levels,677,45,195,4.5,forex trading like banks step by step with live examples business finance all levels
575676,fundamentals of investing,business finance,beginner level,3125,54,20,2.0,fundamentals of investing business finance beginner level
1105216,bank financial management a comprehensive study,business finance,all levels,1081,6,50,1.5,bank financial management a comprehensive study business finance all levels
936328,learn to trade forex and stocks from beginner to advanced,business finance,all levels,1645,25,200,2.0,learn to trade forex and stocks from beginner to advanced business finance all levels
43441,master technical analysis and chart reading skills bundle,business finance,all levels,3348,352,120,3.0,master technical analysis and chart reading skills bundle business finance all levels
1103718,naked put options trade covered call poor man covered call,business finance,all levels,939,7,200,1.5,naked put options trade covered call poor man covered call business finance all levels
584410,the ultimate guide to dividend dividend growth investing,business finance,all levels,2115,59,200,5.5,the ultimate guide to dividend dividend growth investing business finance all levels
625568,charting for beginners 101 technical analysis demystified,business finance,all levels,2230,102,45,1.5,charting for beginners 101 technical analysis demystified business finance all levels
297742,build a dcf valuation model,business finance,all levels,2053,234,50,5.5,build a dcf valuation model business finance all levels
24877,introductory financial accounting,business finance,beginner level,1793,265,80,10.0,introductory financial accounting business finance beginner level
1188742,introduction to cryptocurrencies and blockchain,business finance,beginner level,3775,138,0,2.0,introduction to cryptocurrencies and blockchain business finance beginner level
597716,trade pullback candlestick strategy make consistent pips,business finance,all levels,521,67,200,3.0,trade pullback candlestick strategy make consistent pips business finance all levels
415802,accounting standards basics professional course level,business finance,all levels,2222,9,20,0.7,accounting standards basics professional course level business finance all levels
323950,use the magic multiple moving average forex trading system,business finance,intermediate level,1097,252,50,1.0,use the magic multiple moving average forex trading system business finance intermediate level
488818,quickbooks 2015 training for newbies,business finance,beginner level,2506,21,200,6.0,quickbooks 2015 training for newbies business finance beginner level
610890,trading psychology trading mindset mastery,business finance,intermediate level,975,23,120,1.0,trading psychology trading mindset mastery business finance intermediate level
638980,option trading how to adjust delta neutral strangles,business finance,all levels,1398,15,145,1.5,option trading how to adjust delta neutral strangles business finance all levels
599684,profitable binary option trading strategy,business finance,all levels,1096,24,195,1.5,profitable binary option trading strategy business finance all levels
332848,tax strategy financial planning for beginners,business finance,all levels,1703,59,200,2.0,tax strategy financial planning for beginners business finance all levels
354324,accounting 2 simplified for you,business finance,beginner level,1446,23,45,5.0,accounting 2 simplified for you business finance beginner level
379682,project funding modelling for professionals,business finance,all levels,2736,3,20,1.5,project funding modelling for professionals business finance all levels
319020,investing how i consistently beat the stock market,business finance,all levels,2000,31,200,4.5,investing how i consistently beat the stock market business finance all levels
713258,bookkeeping basics understand the fundamentals,business finance,beginner level,853,45,75,4.5,bookkeeping basics understand the fundamentals business finance beginner level
537884,leasing a comprehensive study professional course level,business finance,all levels,3094,2,20,3.5,leasing a comprehensive study professional course level business finance all levels
919906,trading options for consistent returns options basics,business finance,beginner level,4077,281,0,1.5,trading options for consistent returns options basics business finance beginner level
46010,technitrader leading hybrid indicator trading,business finance,intermediate level,4117,54,20,1.0,technitrader leading hybrid indicator trading business finance intermediate level
777932,financial modeling build a dcf equity valuation model,business finance,all levels,1369,17,20,1.5,financial modeling build a dcf equity valuation model business finance all levels
773934,cryptoarbitrager bitcoin trading robot no mining,business finance,all levels,1224,42,150,0.55,cryptoarbitrager bitcoin trading robot no mining business finance all levels
221306,accounting is easy for beginners,business finance,all levels,3870,12,20,9.0,accounting is easy for beginners business finance all levels
830994,non directional weekly options trading system etf emini,business finance,all levels,897,22,200,2.0,non directional weekly options trading system etf emini business finance all levels
723510,the complete position trading course position trading stock,business finance,all levels,1311,36,45,1.0,the complete position trading course position trading stock business finance all levels
42643,master iron condors double the credit for half the risk,business finance,expert level,1338,139,60,1.0,master iron condors double the credit for half the risk business finance expert level
411778,basics of investing in mutual funds,business finance,intermediate level,1589,26,20,1.5,basics of investing in mutual funds business finance intermediate level
366514,a value investing approach to the stock market,business finance,all levels,1189,12,20,1.5,a value investing approach to the stock market business finance all levels
471588,learn how to invest for huge profits or make it big trading,business finance,all levels,701,12,50,5.5,learn how to invest for huge profits or make it big trading business finance all levels
390096,how to fund your million dollar idea equity debt unfund,business finance,intermediate level,1105,3,50,6.0,how to fund your million dollar idea equity debt unfund business finance intermediate level
607876,mastering candlestick charting high probability trading,business finance,all levels,123,16,50,2.0,mastering candlestick charting high probability trading business finance all levels
249950,binary options course level 2,business finance,intermediate level,5874,207,0,2.0,binary options course level 2 business finance intermediate level
792216,stock technical analysis with r,business finance,all levels,354,32,50,7.0,stock technical analysis with r business finance all levels
45139,get to know the vix index aka the fear index,business finance,all levels,727,64,60,1.0,get to know the vix index aka the fear index business finance all levels
692176,apply finance concepts for smart project management,business finance,beginner level,3465,161,0,2.0,apply finance concepts for smart project management business finance beginner level
1224262,introduction to futures trading and live trade demonstration,business finance,expert level,54,4,60,0.7166666666666667,introduction to futures trading and live trade demonstration business finance expert level
598094,crowdfunding to win,business finance,all levels,627,15,40,1.5,crowdfunding to win business finance all levels
40039,comprehensive forex mastery program,business finance,all levels,650,107,45,10.0,comprehensive forex mastery program business finance all levels
1266148,preparation of consolidated financial statements basic,business finance,intermediate level,965,0,0,1.5,preparation of consolidated financial statements basic business finance intermediate level
791422,succeed in bonds even if you don t know where to start,business finance,all levels,1113,6,200,1.0,succeed in bonds even if you don t know where to start business finance all levels
352150,learn to trade for profit ten most profitable trading rules,business finance,all levels,739,28,95,2.0,learn to trade for profit ten most profitable trading rules business finance all levels
791436,succeed in lotto even if you don t know where to start,business finance,all levels,1201,12,20,1.5,succeed in lotto even if you don t know where to start business finance all levels
537878,cfa corporate finance level 2,business finance,all levels,2474,6,50,17.5,cfa corporate finance level 2 business finance all levels
923184,pin bars the most powerful forex trading signal,business finance,all levels,494,16,200,1.0,pin bars the most powerful forex trading signal business finance all levels
476256,stock options trades using interactive brokers,business finance,intermediate level,1580,26,95,1.0,stock options trades using interactive brokers business finance intermediate level
552504,introduction to options strategies for consistent profits,business finance,all levels,617,44,40,4.5,introduction to options strategies for consistent profits business finance all levels
537888,risk in forex transactions for ca cs cfa exams,business finance,all levels,2235,3,20,1.0,risk in forex transactions for ca cs cfa exams business finance all levels
385686,basics of business statistics college level,business finance,all levels,2293,9,20,2.0,basics of business statistics college level business finance all levels
738900,trading seasonal price patterns in stocks futures forex,business finance,beginner level,1094,8,200,2.0,trading seasonal price patterns in stocks futures forex business finance beginner level
57415,interpreting financial statements,business finance,beginner level,1449,29,20,1.5,interpreting financial statements business finance beginner level
155344,introduction to bookkeeping accounting,business finance,beginner level,3251,10,20,12.0,introduction to bookkeeping accounting business finance beginner level
42491,credit spread surgery bear call and bull put mastery,business finance,intermediate level,607,55,60,2.0,credit spread surgery bear call and bull put mastery business finance intermediate level
511952,investment banking how to land a job on wall street,business finance,all levels,1218,30,75,3.5,investment banking how to land a job on wall street business finance all levels
530246,learn to invest in index funds and etfs in 7 easy steps,business finance,all levels,1132,33,20,1.0,learn to invest in index funds and etfs in 7 easy steps business finance all levels
862786,financial modeling build a multiples valuation model,business finance,all levels,656,17,20,1.5,financial modeling build a multiples valuation model business finance all levels
165122,trade recap i a real look at futures options markets,business finance,beginner level,3339,4,20,1.5,trade recap i a real look at futures options markets business finance beginner level
530768,advanced stock options for serious equity investors,business finance,expert level,1271,23,200,1.5,advanced stock options for serious equity investors business finance expert level
218416,trading binary options for fun and profit,business finance,all levels,1574,24,20,2.0,trading binary options for fun and profit business finance all levels
619296,cfa fast track your career in finance,business finance,beginner level,1393,27,20,2.0,cfa fast track your career in finance business finance beginner level
717278,how to be a profitable forex trader,business finance,all levels,1029,13,20,0.6833333333333333,how to be a profitable forex trader business finance all levels
